"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2989","should validate the Title field and control the Publish button state","chromium","2026-06-01","passed","2026-06-01","TC-02 | Create News Form — Title validation and Publish button state","TC-02.spec.ts","",""
"","2843","should display all required fields in the correct order","chromium","2026-06-01","failed","2026-06-01","TC-01 | Create News Form — fields presence and order","TC-01.spec.ts","",""
"","30210","should successfully publish news with valid URL and verify source link","chromium","2026-06-01","broken","2026-06-01","TC-06 | Create News Form - Source field validation","TC-06.spec.ts","",""
"","3","should successfully publish news with valid text length (25 chars)","firefox","2026-06-01","failed","2026-06-01","TC-05 | Create News Form - Main Text (Content) field validation","TC-05.spec.ts","",""
"","2947","should truncate text to 63206 characters when limit is exceeded","chromium","2026-06-01","failed","2026-06-01","TC-05 | Create News Form - Main Text (Content) field validation","TC-05.spec.ts","",""
"","4","should validate the Title field and control the Publish button state","firefox","2026-06-01","failed","2026-06-01","TC-02 | Create News Form — Title validation and Publish button state","TC-02.spec.ts","",""
"","4","should successfully send valid URL to backend on publish","firefox","2026-06-01","failed","2026-06-01","TC-06 | Create News Form - Source field validation","TC-06.spec.ts","",""
"","2884","should disable Publish button when text is too short (10 chars)","chromium","2026-06-01","passed","2026-06-01","TC-05 | Create News Form - Main Text (Content) field validation","TC-05.spec.ts","",""
"","9888","should display error and disable Publish button when text is too short (10 chars)","chromium","2026-06-01","failed","2026-06-01","TC-05 | Create News Form - Main Text (Content) field validation","TC-05.spec.ts","",""
"","3182","should keep the form open with existing data when ""Continue editing"" is selected","chromium","2026-06-01","passed","2026-06-01","TC-07 | Create News Form - Cancel Button and Confirmation Modal","TC-07.spec.ts","",""
"","2","should show error for image larger than 10MB","firefox","2026-06-01","failed","2026-06-01","TC-04 | Create News Form - Upload Image field validation","TC-04.spec.ts","",""
"","2","should show error for invalid GIF format","firefox","2026-06-01","failed","2026-06-01","TC-04 | Create News Form - Upload Image field validation","TC-04.spec.ts","",""
"","3256","should successfully publish news when Source field is empty","chromium","2026-06-01","passed","2026-06-01","TC-06 | Create News Form - Source field validation","TC-06.spec.ts","",""
"","2169","should validate image formats and size restrictions","firefox","2026-06-01","failed","2026-06-01","TC-04 | Create News Form - Upload Image field validation","TC-04.spec.ts","",""
"","3","should successfully publish news when Source field is empty","firefox","2026-06-01","failed","2026-06-01","TC-06 | Create News Form - Source field validation","TC-06.spec.ts","",""
"","4","should keep the form open with existing data when ""Continue editing"" is selected","firefox","2026-06-01","failed","2026-06-01","TC-07 | Create News Form - Cancel Button and Confirmation Modal","TC-07.spec.ts","",""
"","9191","should display error and disable Publish button for invalid URL","chromium","2026-06-01","failed","2026-06-01","TC-06 | Create News Form - Source field validation","TC-06.spec.ts","",""
"","4","should truncate text to 63206 characters when limit is exceeded","firefox","2026-06-01","failed","2026-06-01","TC-05 | Create News Form - Main Text (Content) field validation","TC-05.spec.ts","",""
"","3","should disable Publish button for invalid URL","firefox","2026-06-01","failed","2026-06-01","TC-06 | Create News Form - Source field validation","TC-06.spec.ts","",""
"","5917","should successfully publish news with valid URL","chromium","2026-06-01","passed","2026-06-01","TC-06 | Create News Form - Source field validation","TC-06.spec.ts","",""
"","4","should display all required fields in the correct order","firefox","2026-06-01","failed","2026-06-01","TC-01 | Create News Form — fields presence and order","TC-01.spec.ts","",""
"","3359","should successfully publish news with valid text length (25 chars)","chromium","2026-06-01","passed","2026-06-01","TC-05 | Create News Form - Main Text (Content) field validation","TC-05.spec.ts","",""
"","3","should disable Publish button when text is too short (10 chars)","firefox","2026-06-01","failed","2026-06-01","TC-05 | Create News Form - Main Text (Content) field validation","TC-05.spec.ts","",""
"","3235","should close the form and redirect to news page when ""Yes, cancel"" is selected","chromium","2026-06-01","passed","2026-06-01","TC-07 | Create News Form - Cancel Button and Confirmation Modal","TC-07.spec.ts","",""
"","4","should close the form and redirect to news page when ""Yes, cancel"" is selected","firefox","2026-06-01","failed","2026-06-01","TC-07 | Create News Form - Cancel Button and Confirmation Modal","TC-07.spec.ts","",""
"","30147","should validate image formats and size restrictions","chromium","2026-06-01","broken","2026-06-01","TC-04 | Create News Form - Upload Image field validation","TC-04.spec.ts","",""
"","2781","should show error for image larger than 10MB","chromium","2026-06-01","passed","2026-06-01","TC-04 | Create News Form - Upload Image field validation","TC-04.spec.ts","",""
"","2","should upload valid PNG successfully","firefox","2026-06-01","failed","2026-06-01","TC-04 | Create News Form - Upload Image field validation","TC-04.spec.ts","",""
"","2726","should upload valid PNG successfully","chromium","2026-06-01","passed","2026-06-01","TC-04 | Create News Form - Upload Image field validation","TC-04.spec.ts","",""
"","2706","should show error for invalid GIF format","chromium","2026-06-01","passed","2026-06-01","TC-04 | Create News Form - Upload Image field validation","TC-04.spec.ts","",""
"","2876","should disable Publish button for invalid URL","chromium","2026-06-01","passed","2026-06-01","TC-06 | Create News Form - Source field validation","TC-06.spec.ts","",""
"","30128","should successfully send valid URL to backend on publish","chromium","2026-06-01","broken","2026-06-01","TC-06 | Create News Form - Source field validation","TC-06.spec.ts","",""
